key	Citation	title	Demographics	Sample size (discovery)	Sample size calc	Quality control	Confounder correction	blood cell correction	DNAm measuring technique	environment collection	replication attempt	classifier prediction tested	Meta-analysis	Notes	Confounders adjusted
rayyan-1000417372	(Gondalia et al., 2019)	Methylome-wide association study provides evidence of particulate matter air pollution-associated DNA methylation.	+	8397	-	+	+	+	+	+	+	NA	+		"age (years) at blood draw, education (high school education or lower, more than high school), smoking status (current, former, never), alcohol use (current, former, never), physical activity (metabolic equivalent of task [MET-hours/week]), body mass index (BMI, kg/m2), neighborhood socioeconomic status (Roux et al., 2001), mean temperature (�C), mean dew point (�C), mean barometric pressure (kPa), season, and methylation-related variables, which included ten principal components (PCs) for genetic ancestry (when available), leukocyte proportions, and technical covariates. Analyses additionally controlled for cohort-specific covariates, including binary sex (male, female) in ARIC; randomly assigned treatment group (CT subpopulations of WHI-AS311, WHI-BAA23, WHI-EMPC); case-control status (WHI-AS311, WHI-BAA23); and control matching criteria (WHI-AS311)."
rayyan-1000417375	(Xu et al., 2023)	Wildfire-related PM(2.5) and DNA methylation: An Australian twin and family study.	+/-	479	-	+/-	+/-	+	+	+	-	NA	-	"No BMI (height and weight); missing outlier and sample QC; no ethnicity confounder"	"age (continuous), educational level (secondary or below; vocational training; university), marital status (married or�de facto; never married; widowed or separated or divorced), smoking (current smoker; former smoker; never smoked), alcohol use (current drinker; former drinker; never drank), area-level SES (four categories according to quartiles in Australia), annual average temperature, annual average relative humidity, survey year, season, and cell-type proportions."
rayyan-1000417467	(Zhao et al., 2023)	Association of environmental exposure to chromium with differential DNA methylation: An epigenome-wide study.	+/-	20	-	+/-	+/-	+	+	+	-	NA	-	"No socioeconomic status, education and alcohol intake; missing outlier, sample and sex mismatch QC"	sex, smoking status, BMI, urine creatinine level, age at enrollment, and estimated cell-type proportions and batch effects
rayyan-1000417477	(Zeilinger et al., 2013)	Tobacco smoking leads to extensive genome-wide changes in DNA methylation.	+/-	1793	-	+/-	+/-	+	+	+	+	NA	-	"No socioeconomic status and education; no sex mismatch, outlier QC and no correction for probes binding multiple genomic regions; no technical covariates"	sex, age, BMI, alcohol consumption as well as white blood cell count as covariates
rayyan-1000417478	(Georgiadis et al., 2019)	DNA methylation profiling implicates exposure to PCBs in the pathogenesis of B-cell chronic lymphocytic leukemia.	+/-	611	-	-	+/-	+	+	+	-	NA	-	"No socioeconomic status, education, alcohol intake; no sex mismatch, outlier and sample QC and no correction for probes binding multiple regions."	sex, age, BMI, cohort, health status (control or future case) as well as the six cell type fractions
rayyan-1000417500	(Westerman, Kelly, Ordovas, Booth, & DeMeo, 2020)	Epigenome-wide association study reveals a molecular signature of response to phylloquinone (vitamin K1) supplementation.	+/-	48	-	+	-	+	+	+	-	NA	-	No socioeconomic status, education, alcohol intake	Model 1 (the primary model) was adjusted for 10 CPACOR control-probe principal components, which was found to be necessary to control the genomic inflation. Model 2 was adjusted additionally for age, sex, and five estimated cell count fractions (see above). Model 3 included all prior covariates as well as natural log-transformed plasma triglyceride concentrations at baseline
rayyan-1000417501	(Commodore et al., 2019)	Frequency of heavy vehicle traffic and association with DNA methylation at age 18 years in a subset of the Isle of Wight birth cohort.	+/-	369	-	-	+/-	+	+	+	+	NA	-	"No ethnicity, education and alcohol; no sex mismatch, outlier and sample QC and no correction for probes binding multiple regions."	"�(i) gender; (ii) maternal smoking status during pregnancy obtained from questionnaires at birth of the subject; (iii) tobacco smoke exposure obtained through questionnaires completed at birth and at ages 1, 2, 4 and 10?years. Other covariates were obtained from the questionnaire administered to the subjects at age 18: (iv) socio-economic status (SES) ascertained from the question �what is your family�s annual income (estimate)?�; (v) current smoking status, and age subject started to smoke if applicable; (vi) exposure to smoke outside the home ascertained by the question �are you regularly exposed to smoking outside the home?�; (vii) BMI calculated from height and weight measurements obtained during the 18-year follow-up, using the following formula: weight (kg)/height (m)^2. In addition, we considered the type of residential property the subjects lived in (rented privately, rented council/housing association, owned privately or other), whether the subjects were still living with their parents, and the duration of living in the present house (obtained in the course of the 4-year follow-up)."
rayyan-1000417515	(Stephenson et al., 2021)	Associations of Alcohol Consumption With Epigenome-Wide DNA Methylation and Epigenetic Age Acceleration: Individual-Level and Co-twin Comparison Analyses.	+/-	1004	-	+/-	+/-	+	+	+	+/-	NA	-	"No education and alcohol intake; no sex mismatch and outlier QC"	Age, sex, BMI, smoking status, and white blood cell composition were included as covariates (fixed effects), and zygosity and twin pair identifier were included as random effects to account for relatedness in the sample
rayyan-1000417516	(Holliday et al., 2022)	Gaseous air pollutants and DNA methylation in a methylome-wide association study of an ethnically and environmentally diverse population of U.S. adults.	+	8397	-	+/-	+	+	+	+	+	NA	+	no correction for probes binding multiple regions.	"WHI clinical trial arm, case-control status, matching factors for case-control studies, study center, age at blood draw, sex, race (analysis stratification variable), education (<high school vs. ?high school), neighborhood socioeconomic status, smoking status and alcohol use (never, former, current), physical activity (total energy expenditure in MET-hours/week), body mass index (BMI; weight in kilograms/height in meters2),  dew point in �Celsius, temperature in �Celsius, barometric pressure in kPa (all expressed as means estimated over the air pollution exposure averaging duration from National Climatic Data Center stations within 50 km of the participant's home), Season of blood draw: spring, summer, fall, winter, Estimated leukocyte proportions, Ancestry principal components"
rayyan-1000417523	(Pittman et al., 2020)	Dioxin-like compound exposures and DNA methylation in the Anniston Community Health Survey Phase II.	+/-	292	-	+/-	+/-	+	+	+	-	NA	-	"No socioeconomic status, education, alcohol intake; No sex mismatch and outlier QC"	age, race, sex, smoking, bisulfite conversion batch, and estimated percentages of six blood cell types. body mass index and alcohol use excluded as it didn't change anything
rayyan-1000417534	(Song et al., 2021)	Persistent variations of blood DNA methylation associated with treatment exposures and risk for cardiometabolic outcomes in long-term survivors of childhood cancer in the St. Jude Lifetime Cohort.	-	2052	-	+/-	+/-	+	+	+	-	NA	-	"No socioeconomic status, education, alcohol intake, smoking; no sex mismatch and outlier QC"	sex, age, other cancer treatment exposures (see below), leukocyte subtype proportions, top three genetic principal components, and top four methylation principal components determined by the change rate of eigenvalues
rayyan-1000417608	(Childebayeva et al., 2021)	Blood lead levels in Peruvian adults are associated with proximity to mining and DNA methylation.	+/-	90	-	+/-	-	+	+	+	-	NA	-	"No socioeconomic status, smoking and alcohol; no sex mismatch and outlier QC"	Sex, Age, Blood principal components
rayyan-1000417646	(Curtis et al., 2020)	Sex-specific DNA methylation differences in people exposed to polybrominated biphenyl.	-	658	+	+/-	-	+	+	+	-	NA	-	"No socioeconomic status, education, BMI, smoking and alcohol intake; no outlier and probe-SNP QC"	To test for sex-specific associations between PBB levels and DNA methylation, the association between each probe and level of PBBs was assessed in each sex separately, controlling for age, lipid levels and cell type composition
rayyan-1000417653	(Salas et al., 2015)	DNA methylation levels and long-term trihalomethane exposure in drinking water: an epigenome-wide association study.	-	144	-	+/-	+/-	+	+	+	-	NA	-	No ethnicity, alcohol intake, BMI and socio-economic status	age, sex, municipality, highest education reached (elementary or less, high school, and university or more), and tobacco smoking (classified as never, former, and current smokers). Using a surrogate variable approach, we detected a potential residual uncorrected batch effect and we included a surrogate variable in the adjusted models.58�Finally, we used the Houseman algorithm (included in minfi) to estimate the proportions of white blood cells in our samples
rayyan-1000417720	(Wang et al., 2022)	Short- and intermediate-term exposure to ambient fine particulate elements and leukocyte epigenome-wide DNA methylation in older men: the Normative Aging Study.	+	1266	-	+	+	+	+	+	-	NA	-	No socioeconomic status	"sociodemographic factors including age (years), years of education; 2) lifestyle factors including smoking status (ever/never), cigarette pack-years, alcohol consumption (<2 or�?�2 drinks/day); body mass index (BMI, kg/m2); the metabolic equivalent of task (hours/week); 3) biological factors: the estimated cell-type compositions (CD4�+�T lymphocytes, CD8�+�T lymphocytes, natural killer cells, B cells, and monocytes) by the Houseman method (Houseman et al. 2012); 4) technical factors such as batch effects and five normalization factors; and 5) weather variables including�season�(March-May; June-August; September-November; December-February), and ambient temperature and relative humidity measured at the Boston Logan Airport weather station, which is 8�km away from the clinical center (Dai et al. 2016)."
rayyan-1000417741	(Phillips et al., 2019)	Human exposure to trichloroethylene is associated with increased variability of blood DNA methylation that is enriched in genes and pathways related to autoimmune disease and cancer.	-	140	-	+/-	+/-	+	+	+	-	NA	-	"No socioeconmic status, education, alcohol; No sex mimatch QC"	corrected for measured granulocytes, B cells, NK cells, CD4 cells, CD8 cells, BMI, age, smoking, and sex
rayyan-1000417745	(Clark et al., 2021)	Methylomic Investigation of Problematic Adolescent Cannabis Use and Its Negative Mental Health Consequences.	-	703	-	+/-	+/-	+	+	+	-	NA	-	"No education, alcohol intake and BMI; QC seems quite good, but different sequencing technique was used so the quality control checks don't apply here"	First, we regressed out assay-related variables (i.e., potential technical artifacts) such as sample batches and peak21. Second, we regressed out age, age squared, race and regular cigarette use. Sex was also included as a covariate to account for potential sex differences in cannabis use. Third, to avoid false positives due to cell type heterogeneity in whole blood, we regressed out cell type proportions as estimated from the methylation data14. Fourth, principle component analysis (PCA) was used to capture any remaining unmeasured sources of variation. One principal component was selected based on the screen test
rayyan-1000417746	(Montalvo-Ortiz, Cheng, Kranzler, Zhang, & Gelernter, 2019)	Genomewide Study of Epigenetic Biomarkers of Opioid Dependence in European- American Women.	+/-	220	-	+/-	+/-	+	+	+	-	NA	-	"No education, alcohol inake and BMI; No sample, outlier QC"	adjusting for age, estimated cell proportions (i.e., CD8T, CD4T, NK, C cells, monocytes and granulocytes), and the first three population stratification PCs. Given the broad impact of smoking on DNA methylation across the genome31�and the comorbidity of OD with smoking behavior, we also adjusted for smoking status.
rayyan-1000417822	(Tsaprouni et al., 2014)	Cigarette smoking reduces DNA methylation levels at multiple genomic loci but the effect is partially reversible upon cessation.	-	464	-	+/-	+/-	+	+	+	+	NA	-	"No socioeconmic status, education, alcohol; No sex mismatch , no correction for probes binding multiple regions"	age, gender, disease status (coronary artery disease cases and controls), recruitment site, chip batch effect, and BS-treated DNA input. The above model was also run with the inclusion of monocyte, neutrophil, and lymphocyte counts to assess confounding effects (see also below)
rayyan-1000417826	(Argos et al., 2015)	Gene-specific differential DNA methylation and chronic arsenic exposure in an epigenome-wide association study of adults in Bangladesh.	-	400	-	+/-	-	+	+	+	+	NA	-	"No socioeconmic status, smoking, BMI, education, alcohol; no outlier QC, no correction for SNP probes and probes binding multiple regions"	adjusted for sex, age, and batch.
rayyan-1000417860	(Sayols-Baixeras et al., 2015)	Identification of a new locus and validation of previously reported loci showing differential methylation associated with smoking. The REGICOR study.	+/-	645	-	+	+/-	+	+	+	+	NA	-	No socioeconomic status, alcohol and education	and a pre-defined set of variables (sex, age, batch, and physical activity) were included in the models as adjusting covariates. We performed sensitivity analyses adjusting for this set of variables, including high-density lipoprotein cholesterol and blood cell count estimated by the Houseman Algorithm using the minfi R package.53,54�We also stratified by sex and excluded those participants with previous coronary heart disease.
rayyan-1000428197	(Domingo-Relloso et al., 2020)	Cadmium, Smoking, and Human Blood DNA Methylation Profiles in Adults        from the Strong Heart Study	+/-	2325	-	-	+/-	+	+	+	+/-	NA	-	"No socioeconomic status, alcohol, education; No sex mismatch, outlier and sample QC, no correction for probe bias??"	Models adjusted for biologically relevant variables: age at baseline, sex, study region, BMI, Houseman blood cell composition, and five principal components to account for genetic population stratification (Price et�al. 2006). We further adjusted for smoking status (never, former, current) and eGFR in Cd models. We accounted for multiple comparisons by controlling for an FDR (Riancho et�al. 2016) at a 0.05 cutoff. Genomic inflation can lead to inflated�p-values and false positives in EWAS studies (van Iterson et�al. 2017), and it was addressed by calculating a set of surrogate variables (SVs) (Leek et�al. 2012) from fully adjusted Cd and smoking models using the R package SmartSVA (version 0.1.3) to estimate SVs out of the unexplained DNAm variability and further adjusting the models for them.
rayyan-1000428209	(Kuan et al., 2019)	Enhanced exposure assessment and genome-wide DNA methylation in World        Trade Center disaster responders	-	185	-	+/-	-	+	+	+	-	NA	-	"No socioeconomic status, alcohol, education and BMI; No outlier and sample QC"	adjusting for age, race, smoking status and cell types
rayyan-1000428216	(Phillips et al., 2022)	Epigenome-wide association studies of occupational exposure to benzene        and formaldehyde	+/-	98	-	+/-	+/-	+	+	+	-	NA	-	"No socioeconomic status, education; no sex mismatch QC"	estimated blood cell counts (monocytes, granulocytes, B cells, NK cells, CD4 cells, CD8 cells), body mass index (BMI), age, smoking, and sex.
rayyan-1000428224	(Lee et al., 2016)	DNA methylation and smoking in Korean adults: epigenome-wide association        study	+/-	100	-	+/-	+/-	+	+	+	+/-	NA	-	"No socioeconomic status, education and alcohol intake; no sex mismatch, sample QC, no correction for SNP probes"	We adjusted for COPD status because of the selection subjects and for age, sex, BMI, and estimated cell-type composition
rayyan-1000428229	(Hellbach et al., 2022)	Association between Usual Dietary Intake of Food Groups and DNA        Methylation and Effect Modification by Metabotype in the KORA FF4 Cohort	+	1261	-	+	+/-	+	+	+	-	NA	-	No education confounder correction	Covariate selection was based on the literature and our own assessment of confounding with the disjunctive cause criterion [27]. The covariates selected for the model were sex, BMI (continuous), BMI squared, age (continuous), age squared, total caloric intake (continuous), alcohol in g/day (continuous�not included in the model for wine, beer, spirits, AHEI and MDS), metabotype (categorical variable), smoking behavior (regular, former, never), measured cell counts (monocytes, basophiles, eosinophils and lymphocytes) and plate as a technical variable.
rayyan-1000428247	(Hellbach et al., 2023)	Pooled analysis of epigenome-wide association studies of food        consumption in KORA, TwinsUK and LLS	+/-	2293	-	+/-	+/-	+	+	+	-	NA	+	"No education and ethnicity; All three studies had sufficient QC"	The covariates selected for the model were sex, BMI (continuous), BMI squared, age (continuous), age squared, total caloric intake (continuous), alcohol in g/day (continuous�not included in the model for wine, beer, spirits, AHEI and MDS), metabotype (categorical variable), smoking behavior (regular, former, never), measured cell counts (monocytes, basophiles, eosinophils and lymphocytes) and plate as a technical variable.
rayyan-1000428254	(Ramaker et al., 2022)	Epigenome-wide Association Study Analysis of Calorie Restriction in        Humans, CALERIE (TM) Trial Analysis	+/-	197	-	-	+/-	+	+	+	-	NA	-	"Smokers not allowed in study, No alcohol intake and education; no sex mismatch, outlier and sample QC, no correction for SNP probes or probes binding multiple regions."	Time-invariant covariates were pre-intervention-baseline chronological age, sex, BMI stratum (22�24.9, 25�27.9), study site, and the first 3 principal components estimated from genome-wide SNP data in order to correct for population stratification. Time-varying covariates were proportions of monocytes, neutrophils, and CD4T, CD8T, Natural Killer, and B-cell lymphocytes estimated from the DNAm data using the Houseman Equation via the Minfi and FlowSorted.Blood.EPIC R packages and the first 7 principal components were estimated from EPIC-array control probes
rayyan-1000428255	(Gupta et al., 2019)	Epigenome-wide association study of serum cotinine in current smokers        reveals novel genetically driven loci	+/-	310	-	+/-	+/-	+	+	+	+	NA	-	"No education; no outlier QC"	Age, sex, BMI, batch variable (site of cotinine measurement), 30 control probe PCs, and 10 intermediary residual PCs were included as covariates (fixed effects), while family identifier and zygosity were included as random effects to account for the relatedness in our sample
rayyan-1000428266	(Lemire et al., 2015)	The effect of 5-fluorouracil/leucovorin chemotherapy on CpG methylation,        or the confounding role of leukocyte heterogeneity: An illustration	+/-	577	-	+	+/-	+	+	+	-	NA	-	No BMI and education, only non-hispanic whites allowed	In the linear regression model, covariates were included to remove unwanted variation. These included: age, sex, alcohol consumption status, smoking status, the methylation array identifier on which the sample was found (12 samples were included on each array), position of the sample on its array and the first two principal components (PCs) calculated from control probes. and leukocyte heterogeneity
rayyan-1000428298	(Taylor et al., 2021)	Epigenetic Markers Are Associated With Differences in Isocyanate        Biomarker Levels in Exposed Spray-Painters	+/-	24	-	+/-	+/-	-	+	+	-	NA	-	"No alcohol intake and education; no outlier, no correction for probes biding multiple regions; Peripheral blood mononuclear cells (PBMCs) isolated, but no blood cell correction"	�The mixed models included inhalation exposure, skin exposure, age, current smoking status, and ethnicity as covariates.
rayyan-1000428324	(Mandaviya et al., 2019)	Association of dietary folate and vitamin B-12 intake with genome-wide        DNA methylation in blood: a large-scale epigenome-wide association        analysis in 5841 individuals	+/-	5841	-	+/-	+/-	+	+	+	-	NA	+	"No education; QC in most cohorts sufficient, but variable among cohorts in meta-analysis"	Models were adjusted for age, sex, BMI (in kg/m2), differential white blood cell (WBC) counts, smoking status, physical activity, B-vitamin supplement intake, and alcohol (g/d or drinks/wk) and coffee (g/d or servings/d) consumption as fixed effects, except for those studies for which some covariates were not present (Table 2). Technical covariates such as array number and position on array were also adjusted for and were treated as random effects
rayyan-1000428328	(Bozack et al., 2020)	Locus -Specific Differential DNA Methylation and Urinary Arsenic: An        Epigenome-Wide Association Study in Blood among Adults with Low -to        -Moderate Arsenic Exposure	+/-	2325	-	+/-	+/-	+	+	+	+/-	NA	-	"No alcohol intake; No outlier and sex mismatch QC"	Models were adjusted for sex, age, BMI, self-reported smoking status, education (<high?school, high school graduate or GED,�>high?school), study center (Arizona, Oklahoma, North and South Dakota), eGFR, and cell type proportion estimates
rayyan-1000428336	(Lohoff et al., 2022)	Epigenome-wide association study of alcohol consumption in N=8161        individuals and relevance to alcohol use disorder pathophysiology:        identification of the cystine/glutamate transporter SLC7A11 as a top        target	+/-	8161	-	+/-	+/-	+	+	+	+	+	-	No correction for probes binding SNPs and no correction for probes binding multiple regions	Age, sex, smoking status, pack years, and the first 20 principal components from the corrected�M�values were fitted as fixed effect covariates. The same approach was used for the GS wave 2 data, but batch and estimated cell counts (CD4, CD8, granulocytes, B and NK cells) were fitted as fixed effect covariates as these were not adjusted for in the normalization process
rayyan-1000428377	(Furlong et al., 2020)	An epigenome-wide association study of ambient pyrethroid pesticide        exposures in California's central valley	-	237	-	-	+/-	+	+	+	-	NA	-	"No smoking, alcohol intake and BMI; no sex mismatch, outlier, sample or probe QC, no correction for probes binding SNPs"	We a-priori selected the adjustment variables of age, sex, education, a genetic ancestry marker for Hispanic ancestry, and blood cell composition proportions (CD4T, granulocytes, B cells, and natural killer cells), based on evidence in the literature that these factors may confound relationships between environmental contaminants and health outcomes
rayyan-1000428382	(Guida et al., 2015)	Dynamics of smoking-induced genome-wide methylation changes with time        since smoking cessation	-	745	-	-	-	+	+	+	-	NA	-	No outlier and no normalization? No correction for SNP probes and probes binding multiple regions	To account for residual technical confounding, all models were adjusted for micro-array (N�= 89) and position of the sample on the micro-array (N�= 12). All analyses were additionally adjusted for blood cell composition estimated using the algorithm developed by Houseman�et al.�(36) by including in the model the estimated blood cell composition.�Further adjustment covariates included age at blood collection (continuous), case�control status (binary) and centre (categorical, 6 classes).
